code,title,description,parent_code,attributes_json
GV,GOVERN,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",,
GV.OC,Organizational Context,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV,
GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,The organizational mission is understood and informs cybersecurity risk management,GV.OC,
GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered","Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",GV.OC,
GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",GV.OC,
GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",GV.OC,
GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated","Outcomes, capabilities, and services that the organization depends on are understood and communicated",GV.OC,
GV.RM,Risk Management Strategy,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV,
GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,Risk management objectives are established and agreed to by organizational stakeholders,GV.RM,
GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained","Risk appetite and risk tolerance statements are established, communicated, and maintained",GV.RM,
GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,GV.RM,
GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,Strategic direction that describes appropriate risk response options is established and communicated,GV.RM,
GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties","Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",GV.RM,
GV.RM-06,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",GV.RM,
GV.RM-07,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions","Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",GV.RM,
GV.RR,"Roles, Responsibilities, and Authorities","Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated",GV,
GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",GV.RR,
GV.RR-02,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",GV.RR,
GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",GV.RR,
GV.RR-04,Cybersecurity is included in human resources practices,Cybersecurity is included in human resources practices,GV.RR,
GV.PO,Policy,"Organizational cybersecurity policy is established, communicated, and enforced",GV,
GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",GV.PO,
GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",GV.PO,
GV.OV,Oversight,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV,
GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,GV.OV,
GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,GV.OV,
GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,GV.OV,
