code,title,description,parent_code,attributes_json
AC,Access Control,,,
AT,Awareness and Training,,,
AU,Audit and Accountability,,,
CA,"Assessment, Authorization, and Monitoring",,,
CM,Configuration Management,,,
CP,Contingency Planning,,,
IA,Identification and Authentication,,,
IR,Incident Response,,,
MA,Maintenance,,,
MP,Media Protection,,,
PE,Physical and Environmental Protection,,,
PL,Planning,,,
PM,Program Management,,,
PS,Personnel Security,,,
PT,Personally Identifiable Information Processing and Transparency,,,
RA,Risk Assessment,,,
SA,System and Services Acquisition,,,
SC,System and Communications Protection,,,
SI,System and Information Integrity,,,
SR,Supply Chain Risk Management,,,
AC-1,Policy and Procedures,"Develop, document, and disseminate to organization-defined personnel or roles: one or more of organization-level, mission/business process-level, system-level access control policy that: Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and Procedures to facilitate the implementation of the access control policy and the associated access controls; Designate an official to manage the development, documentation, and dissemination of the access control policy and procedures; and Review and update the current access control: Policy frequency and following events ; and Procedures frequency and following events.",AC,"{""baselines"": [""high"", ""low"", ""moderate""], ""is_requirement"": true}"
AC-2,Account Management,"Define and document the types of accounts allowed and specifically prohibited for use within the system; Assign account managers; Require prerequisites and criteria for group and role membership; Specify: Authorized users of the system; Group and role membership; and Access authorizations (i.e., privileges) and attributes (as required) for each account; Require approvals by personnel or roles for requests to create accounts; Create, enable, modify, disable, and remove accounts in accordance with policy, procedures, prerequisites, and criteria; Monitor the use of accounts; Notify account managers and personnel or roles within: time period when accounts are no longer required; time period when users are terminated or transferred; and time period when system usage or need-to-know changes for an individual; Authorize access to the system based on: A valid access authorization; Intended system usage; and attributes (as required); Review accounts for compliance with account management requirements frequency; Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and Align account management processes with personnel termination and transfer processes.",AC,"{""baselines"": [""high"", ""low"", ""moderate""], ""is_requirement"": true}"
AC-2.1,Automated System Account Management,Support the management of system accounts using automated mechanisms.,AC-2,"{""baselines"": [""high"", ""moderate""], ""is_requirement"": true}"
AC-2.2,Automated Temporary and Emergency Account Management,"Automatically one or more of remove, disable temporary and emergency accounts after time period.",AC-2,"{""baselines"": [""high"", ""moderate""], ""is_requirement"": true}"
AC-2.3,Disable Accounts,Disable accounts within time period when the accounts: Have expired; Are no longer associated with a user or individual; Are in violation of organizational policy; or Have been inactive for time period.,AC-2,"{""baselines"": [""high"", ""moderate""], ""is_requirement"": true}"
AC-2.4,Automated Audit Actions,"Automatically audit account creation, modification, enabling, disabling, and removal actions.",AC-2,"{""baselines"": [""high"", ""moderate""], ""is_requirement"": true}"
AC-2.5,Inactivity Logout,Require that users log out when time period of expected inactivity or description of when to log out.,AC-2,"{""baselines"": [""high"", ""moderate""], ""is_requirement"": true}"
AC-2.6,Dynamic Privilege Management,Implement dynamic privilege management capabilities.,AC-2,"{""baselines"": [], ""is_requirement"": true}"
AC-2.7,Privileged User Accounts,"Establish and administer privileged user accounts in accordance with one or more of a role-based access scheme, an attribute-based access scheme; Monitor privileged role or attribute assignments; Monitor changes to roles or attributes; and Revoke access when privileged role or attribute assignments are no longer appropriate.",AC-2,"{""baselines"": [], ""is_requirement"": true}"
AC-2.8,Dynamic Account Management,"Create, activate, manage, and deactivate system accounts dynamically.",AC-2,"{""baselines"": [], ""is_requirement"": true}"
AC-2.9,Restrictions on Use of Shared and Group Accounts,Only permit the use of shared and group accounts that meet conditions.,AC-2,"{""baselines"": [], ""is_requirement"": true}"
AC-2.11,Usage Conditions,Enforce circumstances and/or usage conditions for system accounts.,AC-2,"{""baselines"": [""high""], ""is_requirement"": true}"
